study_ID,long_cite,short_cite,doi,peer_reviewed,original_ma,coder,expt_num,expt_condition,response_mode,exposure_phase,method,dependent_measure,between_participant,participant_design,same_infant,native_lang,infant_type,group_name_1,group_name_2,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,SD_1,SD_2,t,F,d,d_var,r,corr,age_range_1,age_range_2,n_excluded_1,n_excluded_2,gender_1,gender_2,num_trials,mean_vocab,method_secondary,stim_language,contrast,type,speaker_fam,speaker_experience,speaker_female,speaker,presentation,setting,speech_type,trial_control,test_lang,main_question_IDS_preference,My comments
Pegg1989,"Pegg, J.E.; Werker, J.F. & McLeod, P.J. (1989). infants discriminate between infutlrdirected and adult-directed tulk in both males and females. Paper presented at the meeting for the Society for Research in Child Development, Kansas City, MO.",Pegg et al. (1989),https://files.eric.ed.gov/fulltext/ED306007.pdf,yes,yes,Alex Cristia,1,femaleVoice,eye-tracking,test_only,CF,looking_time,0,within_two,Pegg1989,Canadian English,typical,NA,NA,48,NA,49,NA,NA,NA,NA,NA,NA,NA,0.56,0.0433,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at checkerboard while listening to female IDS or ADS speech during the criterion setting trials,English,main,Infant directed and adult directed speech,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,
Pegg1989,"Pegg, J.E.; Werker, J.F. & McLeod, P.J. (1989). infants discriminate between infutlrdirected and adult-directed tulk in both males and females. Paper presented at the meeting for the Society for Research in Child Development, Kansas City, MO.",Pegg et al. (1989),https://files.eric.ed.gov/fulltext/ED306007.pdf,yes,yes,Alex Cristia,1,maleVoice,eye-tracking,test_only,CF,looking_time,0,within_two,Pegg1989,Canadian English,typical,NA,NA,48,NA,49,NA,NA,NA,NA,NA,NA,NA,1.15,0.048554688,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at checkerboard while listening to male IDS or ADS speech during the criterion setting trials,English,main,Infant directed and adult directed speech,0,0,0,Unfamiliar male,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,the speaker column must have been wrong in the table so I corrected it
Pegg1992,"Pegg, J.E. & Werker J. (1992). Preference for infant-directed over adult-directed speech: Evidence from 7-week-old infants. Infant Behavior and Development. 15(3), 325-345.",Pegg et al. (1992),10.1016/0163-6383(92)80003-D,yes,yes,Alex Cristia,2,femaleVoice,eye-tracking,test_only,CF,looking_time,0,within_two,Pegg1992_2_femaleVoice,Canadian English,typical,NA,NA,48,NA,49,NA,NA,NA,NA,NA,NA,NA,0.46,0.04276875,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Differences in looking time of female IDS or ADS during 2  longest of first three trails (criterion mean) of habituation phase,English,main,Infant directed and adult directed speech,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,
Pegg1992,"Pegg, J.E. & Werker J. (1992). Preference for infant-directed over adult-directed speech: Evidence from 7-week-old infants. Infant Behavior and Development. 15(3), 325-345.",Pegg et al. (1992),10.1016/0163-6383(92)80003-D,yes,yes,Alex Cristia,2,maleVoice,eye-tracking,test_only,CF,looking_time,0,within_two,Pegg1992_2_maleVoice,Canadian English,typical,NA,NA,48,NA,49,NA,NA,NA,NA,NA,NA,NA,1.15,0.048554688,,NA,NA,NA,NA,NA,NA,NA,NA,NA,Differences in looking time of male IDS or ADS during 2 longest of first three trails (criterion mean) of habituation phase,English,main,Infant directed and adult directed speech,0,0,0,Unfamiliar male,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,the speaker column must have been wrong in the table so I corrected it
Robertson2013,"Robertson, S.; von Hapsburg, D. & Hay.; J.S. (2013). The Effect of Hearing Loss on the Perception of Infant- and Adult-Directed Speech. Journal of Speech, Language and Hearing Research. 56, 1108-1119.",Robertson et al. (2013),10.1044/1092-4388(2012/12-0110),yes,no,Alvaro Iturralde,1,SampleA,eye-tracking,test_only,CF,looking_time,0,within_two,Robertson2013_1_SampleA,American English,Hearing Impairement,HI,NA,9,NA,581,NA,7.7,5.4,2.98,1.69,2.5,NA,NA,NA,NA,NA,709,NA,7,NA,0.22,NA,NA,NA,Two stories read either with IDS or ADS,English,main,Infant directed and adult directed speech,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,
Robertson2013,"Robertson, S.; von Hapsburg, D. & Hay.; J.S. (2013). The Effect of Hearing Loss on the Perception of Infant- and Adult-Directed Speech. Journal of Speech, Language and Hearing Research. 56, 1108-1119.",Robertson et al. (2013),10.1044/1092-4388(2012/12-0110),yes,no,Alvaro Iturralde,1,SampleB,eye-tracking,test_only,CF,looking_time,0,within_two,Robertson2013_1_SampleB,American English,typical,younger,NA,9,NA,237,NA,11.7,8.7,5.85,4.75,2.52,NA,NA,NA,NA,NA,122,NA,2,NA,NA,NA,NA,NA,Two stories read either with IDS or ADS,English,main,Infant directed and adult directed speech,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,
Robertson2013,"Robertson, S.; von Hapsburg, D. & Hay.; J.S. (2013). The Effect of Hearing Loss on the Perception of Infant- and Adult-Directed Speech. Journal of Speech, Language and Hearing Research. 56, 1108-1119.",Robertson et al. (2013),10.1044/1092-4388(2012/12-0110),yes,no,Alvaro Iturralde,1,SampleC,eye-tracking,test_only,CF,looking_time,0,within_two,Robertson2013_1_SampleC,American English,typical,older,NA,9,NA,566,NA,11.75,11.49,5.85,5.75,0.168,NA,NA,NA,NA,NA,314,NA,2,NA,NA,NA,NA,NA,Two stories read either with IDS or ADS,English,main,Infant directed and adult directed speech,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,
Schachner2011,"Schachner, A.; Hannon, E. E. (2011). Infant-directed speech drives social preferences in 5-month-old infants. Developmental Psychology, Vol 47(1), 19-25.",Schachner & Hannon (2011),10.1037/a0020740,yes,yes,Alex Cristia,1,looking_fam,eye-tracking,test_only,CF,looking_time,0,within_two,Schachner2011,American English,typical,NA,NA,20,NA,156,NA,NA,NA,NA,NA,NA,NA,0.31,0.10120125,,NA,55,NA,NA,NA,0.5,NA,NA,NA,Looking time during familiarization phase of  a woman speaking either IDS or ADS,English,main,Infant directed and adult directed,0,0,1,Unfamiliar females,Video recording,Laboratory,Simulated,fixed_length,native,no,
Schachner2011,"Schachner, A.; Hannon, E. E. (2011). Infant-directed speech drives social preferences in 5-month-old infants. Developmental Psychology, Vol 47(1), 19-25.",Schachner & Hannon (2011),10.1037/a0020740,yes,yes,Alex Cristia,1,face_pref_test,behavior,familiarization,FC,target_selection,0,within_two,Schachner2011,American English,typical,NA,NA,20,NA,156,NA,NA,NA,NA,NA,NA,NA,1.26,0.119845,,NA,55,NA,NA,NA,0.5,NA,NA,NA,Preference for familiar face during test phase for IDS or ADS,English,main,Infant directed and adult directed,0,0,1,Unfamiliar females,Video recording,Laboratory,Simulated,fixed_length,native,no,
Segal2010,"Segal, J. L. (2010). Infant preferences for two properties of infant-directed speech (Masters thesis). University of Maryland.",Segal (2010),,no,no,Alvaro Iturralde,1,prosody,behavior,familiarization,HPP,looking_time,0,within_two,Segal2010_1,American English,typical,NA,NA,20,NA,363,NA,9.016,8.501,0.7,0.749,NA,0.19,NA,NA,NA,NA,NA,NA,7,NA,0.55,NA,5,61,ADS vs IDS prosody compared,English,main,Infant directed and adult directed speech,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,
Segal2010,"Segal, J. L. (2010). Infant preferences for two properties of infant-directed speech (Masters thesis). University of Maryland.",Segal (2010),,no,no,Alvaro Iturralde,1,structure,behavior,familiarization,HPP,looking_time,0,within_two,Segal2010_1,American English,typical,NA,NA,20,NA,363,NA,9.27,8.034,0.767,0.698,NA,2.47,NA,NA,NA,NA,NA,NA,7,NA,0.55,NA,5,61,ADS vs IDS structure compared,English,main,Infant directed and adult directed speech,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,
Segal2015,"Segal, J. & Newman, R.S. (2015) Infant Preferences for Structural and Prosodic Properties of Infant-Directed Speech in the Second Year of Life. Infancy. 20(3), 339-351.",Segal & Newman (2015),10.1111/infa.12077,yes,no,Alvaro Iturralde,1,SampleA_Prosody,behavior,familiarization,HPP,looking_time,0,within_two,Segal2015_1_SampleA_Prosody,American English,typical,NA,NA,36,NA,365,NA,9.22,8.45,3.1,3.1,NA,NA,NA,NA,NA,NA,52,NA,13,NA,1.11,NA,NA,NA,"Amount of time looking, prododic characteristics IDS vs ADS",English,main,Infant directed and adult directed speech,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,
Segal2015,"Segal, J. & Newman, R.S. (2015) Infant Preferences for Structural and Prosodic Properties of Infant-Directed Speech in the Second Year of Life. Infancy. 20(3), 339-351.",Segal & Newman (2015),10.1111/infa.12077,yes,no,Alvaro Iturralde,1,SampleB_structure,behavior,familiarization,HPP,looking_time,0,within_two,Segal2015_1_SampleB_structure,American English,typical,NA,NA,24,NA,487,NA,10.82,9.38,4.4,3.8,NA,NA,NA,NA,NA,NA,64,NA,14,NA,0.71,NA,NA,NA,"Amount of time looking, prododic characteristics IDS vs ADS",English,main,Infant directed and adult directed speech,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,
Segal2015,"Segal, J. & Newman, R.S. (2015) Infant Preferences for Structural and Prosodic Properties of Infant-Directed Speech in the Second Year of Life. Infancy. 20(3), 339-351.",Segal & Newman (2015),10.1111/infa.12077,yes,no,Alvaro Iturralde,1,SampleA_Prosody,behavior,familiarization,HPP,looking_time,0,within_two,Segal2015_1_SampleA_Prosody,American English,typical,NA,NA,36,NA,365,NA,8.95,8.72,3,3.5,NA,NA,NA,NA,NA,NA,52,NA,13,NA,1.11,NA,NA,NA,"Amount of time looking, structural characteristics IDS vs ADS",English,main,Infant directed and adult directed speech,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,
Segal2015,"Segal, J. & Newman, R.S. (2015) Infant Preferences for Structural and Prosodic Properties of Infant-Directed Speech in the Second Year of Life. Infancy. 20(3), 339-351.",Segal & Newman (2015),10.1111/infa.12077,yes,no,Alvaro Iturralde,1,SampleB_structure,behavior,familiarization,HPP,looking_time,0,within_two,Segal2015_1_SampleB_structure,American English,typical,NA,NA,24,NA,487,NA,10.12,10.08,4.3,3.9,NA,NA,NA,NA,NA,NA,64,NA,14,NA,0.71,NA,NA,NA,"Amount of time looking, structural characteristics IDS vs ADS",English,main,Infant directed and adult directed speech,0,1,1,Unfamiliar female,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,
Singh2002,"Singh, L.; Morgan, J.L. & Best, C.T. (2002). Infants' Listening Preferences: Baby Talk or Happy Talk? Infancy. 3(3), 365-394.",Singh et al. (2002),10.1207/S15327078IN0303_5,yes,yes,Alex Cristia,2,happy,behavior,familiarization,HPP,looking_time,0,within_two,Singh2002_2,American English,typical,NA,NA,36,NA,179,NA,NA,NA,NA,NA,NA,NA,-0.16,0.055733333,,NA,46,NA,NA,NA,0.388888889,NA,NA,NA,Amount of time looking at flashing light while listening to either happy IDS or happy ADS,English,affect_controlled,"Happy, neutral, or sad (controls for affect, set to happy)",0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,how is this study different from second one?
Singh2002,"Singh, L.; Morgan, J.L. & Best, C.T. (2002). Infants' Listening Preferences: Baby Talk or Happy Talk? Infancy. 3(3), 365-394.",Singh et al. (2002),10.1207/S15327078IN0303_5,yes,yes,Alex Cristia,2,neutral,behavior,familiarization,HPP,looking_time,0,within_two,Singh2002_2,American English,typical,NA,NA,36,NA,179,NA,NA,NA,NA,NA,NA,NA,-0.3,0.056180556,,NA,46,NA,NA,NA,0.388888889,NA,NA,NA,Amount of time looking at flashing light while listening to either neutral IDS or neutral ADS,English,affect_controlled,"Happy, neutral, or sad (controls for affect, set to neutral)",0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,
Singh2002,"Singh, L.; Morgan, J.L. & Best, C.T. (2002). Infants' Listening Preferences: Baby Talk or Happy Talk? Infancy. 3(3), 365-394.",Singh et al. (2002),10.1207/S15327078IN0303_5,yes,yes,Martin Zettersten,2,sad,behavior,familiarization,HPP,looking_time,0,within_two,Singh2002_2,American English,typical,NA,NA,36,NA,179,NA,NA,NA,NA,NA,NA,NA,-0.54,0.057580556,,NA,46,NA,NA,NA,0.388888889,NA,NA,NA,Amount of time looking at flashing light while listening to either neutral IDS or neutral ADS,English,affect_controlled,"Happy, neutral, or sad (controls for affect, set to neutral)",0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,added by Martin Zettersten mirroring Alex Cristia's coding (omitted in the initial transcribing of the Dunst et al. meta-analysis); note that N is incorrect (should be 12)
Singh2002,"Singh, L.; Morgan, J.L. & Best, C.T. (2002). Infants' Listening Preferences: Baby Talk or Happy Talk? Infancy. 3(3), 365-394.",Singh et al. (2002),10.1207/S15327078IN0303_5,yes,yes,Alex Cristia,2A,NA,behavior,familiarization,HPP,looking_time,0,within_two,Singh2002_2A,American English,typical,NA,NA,24,NA,189,NA,NA,NA,NA,NA,NA,NA,0.24,0.083933333,,NA,36,NA,NA,NA,0.541666667,NA,NA,NA,Amount of time looking at flashing light while listening to either happy IDS or happy ADS,English,affect_controlled,Happy infant directed and adult directed speech,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,infant_controlled,native,yes,"how is this study different from first one, happy condition?"
Singh2002,"Singh, L.; Morgan, J.L. & Best, C.T. (2002). Infants' Listening Preferences: Baby Talk or Happy Talk? Infancy. 3(3), 365-394.",Singh et al. (2002),10.1207/S15327078IN0303_5,yes,yes,Alex Cristia,3,happy,behavior,familiarization,HPP,looking_time,1,between,Singh2002_3,American English,typical,NA,NA,14,14,187,187,NA,NA,NA,NA,NA,NA,0.5,0.147321429,,NA,31,NA,NA,NA,0.428571429,NA,NA,NA,Amount of time looking at flashing light while listening to either happy IDS or happy ADS ,English,affect_controlled,Happy or neutral infant ,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,infant_controlled,native,no,"how is this study different from first one, happy condition?"
Singh2002,"Singh, L.; Morgan, J.L. & Best, C.T. (2002). Infants' Listening Preferences: Baby Talk or Happy Talk? Infancy. 3(3), 365-394.",Singh et al. (2002),10.1207/S15327078IN0303_5,yes,yes,Alex Cristia,3,neutral,behavior,familiarization,HPP,looking_time,1,between,Singh2002_3,American English,typical,NA,NA,14,14,187,187,NA,NA,NA,NA,NA,NA,0.61,0.149501786,,NA,31,NA,NA,NA,0.428571429,NA,NA,NA,Amount of time looking at flashing light while listening to either neutral IDS or neutral ADS,English,affect_controlled,Happy or neutral infant ,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,infant_controlled,native,no,"how is this study different from first one, neutral condition?"
Singh2009,"Singh, L.; Nestor, S.; Parikh, C. & Yull, A. (209). Influences of Infant-Directed Speech on Early Word Recognition. Infancy. 14(6), 654-666.",Singh et al. (2009),10.1080/15250000903263973,yes,yes,Alex Cristia,1,IDS ,behavior,familiarization,HPP,looking_time,1,between,Singh2009,American English,typical,NA,NA,16,16,224,224,NA,NA,NA,NA,NA,NA,0.29,0.126314063,,NA,31,NA,NA,NA,0.375,NA,NA,NA,Amount of time looking at flashing light while listening to passages containing words familiarized in IDS,English,main,Infant directed and adult directed sentences,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,infant_controlled,native,no,
Singh2009,"Singh, L.; Nestor, S.; Parikh, C. & Yull, A. (209). Influences of Infant-Directed Speech on Early Word Recognition. Infancy. 14(6), 654-666.",Singh et al. (2009),10.1080/15250000903263973,yes,yes,Alex Cristia,1,ADS,behavior,familiarization,HPP,looking_time,1,between,Singh2009,American English,typical,NA,NA,16,16,224,224,NA,NA,NA,NA,NA,NA,0.29,0.126314063,,NA,31,NA,NA,NA,0.375,NA,NA,NA,Amount of time looking at flashing light while listening to passages containing words familiarized in ADS,English,main,Infant directed and adult directed sentences,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,infant_controlled,native,no,
Trainor1996,"Trainor, L.J. (1996). Infant preferences for infant-directed versus noninfant-directed playsongs and lullabies. Infant Behavior and Development. 19(1), 83-92.",Trainor et al. (1996),http://dx.doi.org/10.1016/S0163-6383(96)90046-6,yes,yes,Alex Cristia,2,playsongs,behavior,test_only,HPP,looking_time,0,within_two,Trainor1996_2,Canadian English,typical,NA,NA,60,NA,179,NA,NA,NA,NA,NA,NA,NA,2.27,0.05480375,,NA,51,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at light and illuminated toy while listening to ID or AD playsongs,English,main,Playsongs and lullabies with infant present (infant directed) and infant absent (adult directed),0,1,1,Unfamiliar mother,Tape recording,Laboratory,Naturalistic,infant_controlled,native,yes,
Trainor1996,"Trainor, L.J. (1996). Infant preferences for infant-directed versus noninfant-directed playsongs and lullabies. Infant Behavior and Development. 19(1), 83-92.",Trainor et al. (1996),http://dx.doi.org/10.1016/S0163-6383(96)90046-6,yes,yes,Alex Cristia,2,lullabies,behavior,test_only,HPP,looking_time,0,within_two,Trainor1996_2,Canadian English,typical,NA,NA,60,NA,179,NA,NA,NA,NA,NA,NA,NA,1.94,0.049015,,NA,51,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at light and illuminated toy while listening to ID or AD playsongs,English,main,Playsongs and lullabies with infant present (infant directed) and infant absent (adult directed),0,1,1,Unfamiliar mother,Tape recording,Laboratory,Naturalistic,infant_controlled,native,yes,
Werker1989,"Werker, J.F. & McLeod, P.J. (1989). Infant preference for both male and female infant-directed talk: A developmental study of attentional and affective responsiveness.Canadian Journal of Psychology/Revue canadienne de psychologie, Vol 43(2), 230-246.",Werker & McLeod (1989),http://dx.doi.org/10.1037/h0084224,yes,yes,Alex Cristia,1,NA,eye-tracking,test_only,CF,looking_time,0,within_two,Werker1989_1,Canadian English,typical,NA,NA,12,NA,154,NA,NA,NA,NA,NA,NA,NA,3.15,0.373385417,,NA,84,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at videos of a female or a male speaking in either IDS or ADS,English,main,Infant directed and adult directed speech,0,0,NA,Unfamiliar female,Video recording,Laboratory,Simulated,fixed_length,native,yes,the speaker column must have been wrong in the table
Werker1989,"Werker, J.F. & McLeod, P.J. (1989). Infant preference for both male and female infant-directed talk: A developmental study of attentional and affective responsiveness.Canadian Journal of Psychology/Revue canadienne de psychologie, Vol 43(2), 230-246.",Werker & McLeod (1989),http://dx.doi.org/10.1037/h0084224,yes,yes,Alex Cristia,2,younger_attn,eye-tracking,test_only,CF,looking_time,0,within_two,Werker1989_2_4m.o.,Canadian English,typical,NA,NA,16,NA,132,NA,NA,NA,NA,NA,NA,NA,0.66,0.13180625,,NA,45,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at videos of a female or a male speaking in either IDS or ADS,English,main,Infant directed and adult directed speech,0,0,NA,Unfamiliar female,Video recording,Laboratory living room like setting,Simulated,fixed_length,native,yes,the speaker column must have been wrong in the table
Werker1989,"Werker, J.F. & McLeod, P.J. (1989). Infant preference for both male and female infant-directed talk: A developmental study of attentional and affective responsiveness.Canadian Journal of Psychology/Revue canadienne de psychologie, Vol 43(2), 230-246.",Werker & McLeod (1989),http://dx.doi.org/10.1037/h0084224,yes,yes,Alex Cristia,2,younger_emo,other,test_only,CF,facial_expression,0,within_two,Werker1989_2_4m.o.,Canadian English,typical,NA,NA,16,NA,132,NA,NA,NA,NA,NA,NA,NA,0.54,0.12955625,,NA,45,NA,NA,NA,NA,NA,NA,NA,Affective responsiveness while listening to a female or a male speaking either IDS or ADS,English,main,Infant directed and adult directed speech,0,0,NA,Unfamiliar female,Video recording,Laboratory living room like setting,Simulated,fixed_length,native,yes,the speaker column must have been wrong in the table
Werker1989,"Werker, J.F. & McLeod, P.J. (1989). Infant preference for both male and female infant-directed talk: A developmental study of attentional and affective responsiveness.Canadian Journal of Psychology/Revue canadienne de psychologie, Vol 43(2), 230-246.",Werker & McLeod (1989),http://dx.doi.org/10.1037/h0084224,yes,yes,Alex Cristia,2,older_attn,eye-tracking,test_only,CF,looking_time,0,within_two,Werker1989_2_8m.o.,Canadian English,typical,NA,NA,16,NA,249,NA,NA,NA,NA,NA,NA,NA,1.27,0.150201563,,NA,45,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at videos of a female or a male speaking either IDS or ADS,English,main,Infant directed and adult directed speech,0,0,NA,Unfamiliar female,Video recording,Laboratory living room like setting,Simulated,fixed_length,native,yes,the speaker column must have been wrong in the table
Werker1989,"Werker, J.F. & McLeod, P.J. (1989). Infant preference for both male and female infant-directed talk: A developmental study of attentional and affective responsiveness.Canadian Journal of Psychology/Revue canadienne de psychologie, Vol 43(2), 230-246.",Werker & McLeod (1989),http://dx.doi.org/10.1037/h0084224,yes,yes,Alex Cristia,2,older_emo,other,test_only,CF,facial_expression,0,within_two,Werker1989_2_8m.o.,Canadian English,typical,NA,NA,16,NA,249,NA,NA,NA,NA,NA,NA,NA,1.17,0.146389063,,NA,45,NA,NA,NA,NA,NA,NA,NA,Affective responsiveness while listening to a female or a male speaking either IDS or ADS,English,main,Infant directed and adult directed speech,0,0,NA,Unfamiliar female,Video recording,Laboratory living room like setting,Simulated,fixed_length,native,yes,the speaker column must have been wrong in the table
Werker1989,"Werker, J.F. & McLeod, P.J. (1989). Infant preference for both male and female infant-directed talk: A developmental study of attentional and affective responsiveness.Canadian Journal of Psychology/Revue canadienne de psychologie, Vol 43(2), 230-246.",Werker & McLeod (1989),http://dx.doi.org/10.1037/h0084224,yes,yes,Alex Cristia,3,NA,other,test_only,CF,facial_expression,0,within_two,Werker1989_3,Canadian English,typical,NA,NA,16,NA,142,NA,NA,NA,NA,NA,NA,NA,1.15,0.145664063,,NA,45,NA,NA,NA,NA,NA,NA,NA,Affective responsiveness while looking at a neutral nodding female face while listening to either IDS or ADS,English,main,Infant directed and adult directed speech,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,fixed_length,native,yes,
Werker1994,"Werker, J.F. & Pegg, J.E. (1994).A cross-language investigation of infant preference for infant-directed communication. Infant Behavior and Development. 17(3), 323-333.",Werker et al. (1994),10.1016/0163-6383(94)90012-4,yes,yes,Alex Cristia,1,younger_en_attn,eye-tracking,test_only,CF,looking_time,0,within_two,Werker1994_1_5m.o.,Canadian English,typical,NA,NA,10,NA,142,NA,NA,NA,NA,NA,NA,NA,0.62,0.20961,,NA,15,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at videos of a female speaking either IDS or ADS in Cantonese,English,main,Cantonese infant directed and adult directed speech,0,1,1,Unfamiliar mother,Video recording,Laboratory living room like setting,Naturalistic,fixed_length,native,yes,
Werker1994,"Werker, J.F. & Pegg, J.E. (1994).A cross-language investigation of infant preference for infant-directed communication. Infant Behavior and Development. 17(3), 323-333.",Werker et al. (1994),10.1016/0163-6383(94)90012-4,yes,yes,Alex Cristia,1,younger_en_emo,other,test_only,CF,facial_expression,0,within_two,Werker1994_1_5m.o.,Canadian English,typical,NA,NA,10,NA,142,NA,NA,NA,NA,NA,NA,NA,0.72,0.21296,,NA,15,NA,NA,NA,NA,NA,NA,NA,Affective responsiveness while listening to a female speaking either IDS or ADS in Cantonese,English,main,Cantonese infant directed and adult directed speech,0,1,1,Unfamiliar mother,Video recording,Laboratory living room like setting,Naturalistic,fixed_length,native,yes,
Werker1994,"Werker, J.F. & Pegg, J.E. (1994).A cross-language investigation of infant preference for infant-directed communication. Infant Behavior and Development. 17(3), 323-333.",Werker et al. (1994),10.1016/0163-6383(94)90012-4,yes,yes,Alex Cristia,1,older_en_attn,eye-tracking,test_only,CF,looking_time,0,within_two,Werker1994_1_9m.o.,Canadian English,typical,NA,NA,10,NA,262,NA,NA,NA,NA,NA,NA,NA,0.73,0.2133225,,NA,15,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at videos of a female speaking either IDS or ADS in Cantonese,English,main,Cantonese infant directed and adult directed speech,0,1,1,Unfamiliar mother,Video recording,Laboratory living room like setting,Naturalistic,fixed_length,native,yes,
Werker1994,"Werker, J.F. & Pegg, J.E. (1994).A cross-language investigation of infant preference for infant-directed communication. Infant Behavior and Development. 17(3), 323-333.",Werker et al. (1994),10.1016/0163-6383(94)90012-4,yes,yes,Alex Cristia,1,older_en_emo,other,test_only,CF,facial_expression,0,within_two,Werker1994_1_9m.o.,Canadian English,typical,NA,NA,10,NA,262,NA,NA,NA,NA,NA,NA,NA,0.53,0.2070225,,NA,15,NA,NA,NA,NA,NA,NA,NA,Affective responsiveness while listening to a female speaking either IDS or ADS in Cantonese,English,main,Cantonese infant directed and adult directed speech,0,1,1,Unfamiliar mother,Video recording,Laboratory living room like setting,Naturalistic,fixed_length,native,yes,
Werker1994,"Werker, J.F. & Pegg, J.E. (1994).A cross-language investigation of infant preference for infant-directed communication. Infant Behavior and Development. 17(3), 323-333.",Werker et al. (1994),10.1016/0163-6383(94)90012-4,yes,yes,Alex Cristia,2,younger_ca_attn,eye-tracking,test_only,CF,looking_time,0,within_two,Werker1994_2_5m.o.,Cantonese,typical,NA,NA,10,NA,142,NA,NA,NA,NA,NA,NA,NA,0.24,0.20144,,NA,15,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at videos of a female speaking either IDS or ADS in Cantonese,Cantonese,main,Cantonese infant directed and adult directed speech,0,1,1,Unfamiliar mother,Video recording,Laboratory living room like setting,Naturalistic,fixed_length,native,yes,
Werker1994,"Werker, J.F. & Pegg, J.E. (1994).A cross-language investigation of infant preference for infant-directed communication. Infant Behavior and Development. 17(3), 323-333.",Werker et al. (1994),10.1016/0163-6383(94)90012-4,yes,yes,Alex Cristia,2,younger_ca_emo,other,test_only,CF,facial_expression,0,within_two,Werker1994_2_5m.o.,Cantonese,typical,NA,NA,10,NA,142,NA,NA,NA,NA,NA,NA,NA,0.74,0.21369,,NA,15,NA,NA,NA,NA,NA,NA,NA,Affective responsiveness while listening to a female speaking either IDS or ADS in Cantonese ,Cantonese,main,Cantonese infant directed and adult directed speech,0,1,1,Unfamiliar mother,Video recording,Laboratory living room like setting,Naturalistic,fixed_length,native,yes,
Werker1994,"Werker, J.F. & Pegg, J.E. (1994).A cross-language investigation of infant preference for infant-directed communication. Infant Behavior and Development. 17(3), 323-333.",Werker et al. (1994),10.1016/0163-6383(94)90012-4,yes,yes,Alex Cristia,2,older_ca_attn,eye-tracking,test_only,CF,looking_time,0,within_two,Werker1994_2_9m.o.,Cantonese,typical,NA,NA,10,NA,262,NA,NA,NA,NA,NA,NA,NA,0.4,0.204,,NA,15,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at videos of a female speaking either IDS or ADS in Cantonese,Cantonese,main,Cantonese infant directed and adult directed speech,0,1,1,Unfamiliar mother,Video recording,Laboratory living room like setting,Naturalistic,fixed_length,native,yes,
Werker1994,"Werker, J.F. & Pegg, J.E. (1994).A cross-language investigation of infant preference for infant-directed communication. Infant Behavior and Development. 17(3), 323-333.",Werker et al. (1994),10.1016/0163-6383(94)90012-4,yes,yes,Alex Cristia,2,older_ca_emo,other,test_only,CF,facial_expression,0,within_two,Werker1994_2_9m.o.,Cantonese,typical,NA,NA,10,NA,262,NA,NA,NA,NA,NA,NA,NA,1.23,0.2378225,,NA,15,NA,NA,NA,NA,NA,NA,NA,Affective responsiveness while listening to a female speaking either IDS or ADS in Cantonese,Cantonese,main,Cantonese infant directed and adult directed speech,0,1,1,Unfamiliar mother,Video recording,Laboratory living room like setting,Naturalistic,fixed_length,native,yes,
