study_ID,long_cite,short_cite,doi,peer_reviewed,original_ma,coder,expt_num,expt_condition,response_mode,exposure_phase,method,dependent_measure,between_participant,participant_design,same_infant,native_lang,infant_type,group_name_1,group_name_2,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,SD_1,SD_2,t,F,d,d_var,r,corr,age_range_1,age_range_2,n_excluded_1,n_excluded_2,gender_1,gender_2,num_trials,mean_vocab,method_secondary,stim_language,contrast,type,speaker_fam,speaker_experience,speaker_female,speaker,presentation,setting,speech_type,test_lang,trial_control,main_question_IDS_preference,My comments
Trainor1996,"Trainor, L.J. (1996). Infant preferences for infant-directed versus noninfant-directed playsongs and lullabies. Infant Behavior and Development. 19(1), 83-92.",Trainor et al. (1996),http://dx.doi.org/10.1016/S0163-6383(96)90046-6,yes,yes,Alex Cristia,2,lullabies,behavior,test_only,HPP,looking_time,0,within_two,Trainor1996_2,Canadian English,typical,NA,NA,60,NA,179,NA,NA,NA,NA,NA,NA,NA,1.94,0.049015,,NA,51,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at light and illuminated toy while listening to ID or AD playsongs,English,main,Playsongs and lullabies with infant present (infant directed) and infant absent (adult directed),0,1,1,Unfamiliar mother,Tape recording,Laboratory,Naturalistic,native,infant_controlled,yes,
Werker1989,"Werker, J.F. & McLeod, P.J. (1989). Infant preference for both male and female infant-directed talk: A developmental study of attentional and affective responsiveness.Canadian Journal of Psychology/Revue canadienne de psychologie, Vol 43(2), 230-246.",Werker & McLeod (1989),http://dx.doi.org/10.1037/h0084224,yes,yes,Alex Cristia,1,NA,eye-tracking,test_only,CF,looking_time,0,within_two,Werker1989_1,Canadian English,typical,NA,NA,12,NA,154,NA,NA,NA,NA,NA,NA,NA,3.15,0.3733854167,,NA,84,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at videos of a female or a male speaking in either IDS or ADS,English,main,Infant directed and adult directed speech,0,0,NA,Unfamiliar female,Video recording,Laboratory,Simulated,native,fixed_length,yes,the speaker column must have been wrong in the table
Werker1989,"Werker, J.F. & McLeod, P.J. (1989). Infant preference for both male and female infant-directed talk: A developmental study of attentional and affective responsiveness.Canadian Journal of Psychology/Revue canadienne de psychologie, Vol 43(2), 230-246.",Werker & McLeod (1989),http://dx.doi.org/10.1037/h0084224,yes,yes,Alex Cristia,2,younger_attn,eye-tracking,test_only,CF,looking_time,0,within_two,Werker1989_2_4m.o.,Canadian English,typical,NA,NA,16,NA,132,NA,NA,NA,NA,NA,NA,NA,0.66,0.13180625,,NA,45,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at videos of a female or a male speaking in either IDS or ADS,English,main,Infant directed and adult directed speech,0,0,NA,Unfamiliar female,Video recording,Laboratory living room like setting,Simulated,native,fixed_length,yes,the speaker column must have been wrong in the table
Werker1989,"Werker, J.F. & McLeod, P.J. (1989). Infant preference for both male and female infant-directed talk: A developmental study of attentional and affective responsiveness.Canadian Journal of Psychology/Revue canadienne de psychologie, Vol 43(2), 230-246.",Werker & McLeod (1989),http://dx.doi.org/10.1037/h0084224,yes,yes,Alex Cristia,2,younger_emo,other,test_only,CF,facial_expression,0,within_two,Werker1989_2_4m.o.,Canadian English,typical,NA,NA,16,NA,132,NA,NA,NA,NA,NA,NA,NA,0.54,0.12955625,,NA,45,NA,NA,NA,NA,NA,NA,NA,Affective responsiveness while listening to a female or a male speaking either IDS or ADS,English,main,Infant directed and adult directed speech,0,0,NA,Unfamiliar female,Video recording,Laboratory living room like setting,Simulated,native,fixed_length,yes,the speaker column must have been wrong in the table
Werker1989,"Werker, J.F. & McLeod, P.J. (1989). Infant preference for both male and female infant-directed talk: A developmental study of attentional and affective responsiveness.Canadian Journal of Psychology/Revue canadienne de psychologie, Vol 43(2), 230-246.",Werker & McLeod (1989),http://dx.doi.org/10.1037/h0084224,yes,yes,Alex Cristia,2,older_attn,eye-tracking,test_only,CF,looking_time,0,within_two,Werker1989_2_8m.o.,Canadian English,typical,NA,NA,16,NA,249,NA,NA,NA,NA,NA,NA,NA,1.27,0.1502015625,,NA,45,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at videos of a female or a male speaking either IDS or ADS,English,main,Infant directed and adult directed speech,0,0,NA,Unfamiliar female,Video recording,Laboratory living room like setting,Simulated,native,fixed_length,yes,the speaker column must have been wrong in the table
Werker1989,"Werker, J.F. & McLeod, P.J. (1989). Infant preference for both male and female infant-directed talk: A developmental study of attentional and affective responsiveness.Canadian Journal of Psychology/Revue canadienne de psychologie, Vol 43(2), 230-246.",Werker & McLeod (1989),http://dx.doi.org/10.1037/h0084224,yes,yes,Alex Cristia,2,older_emo,other,test_only,CF,facial_expression,0,within_two,Werker1989_2_8m.o.,Canadian English,typical,NA,NA,16,NA,249,NA,NA,NA,NA,NA,NA,NA,1.17,0.1463890625,,NA,45,NA,NA,NA,NA,NA,NA,NA,Affective responsiveness while listening to a female or a male speaking either IDS or ADS,English,main,Infant directed and adult directed speech,0,0,NA,Unfamiliar female,Video recording,Laboratory living room like setting,Simulated,native,fixed_length,yes,the speaker column must have been wrong in the table
Werker1989,"Werker, J.F. & McLeod, P.J. (1989). Infant preference for both male and female infant-directed talk: A developmental study of attentional and affective responsiveness.Canadian Journal of Psychology/Revue canadienne de psychologie, Vol 43(2), 230-246.",Werker & McLeod (1989),http://dx.doi.org/10.1037/h0084224,yes,yes,Alex Cristia,3,NA,other,test_only,CF,facial_expression,0,within_two,Werker1989_3,Canadian English,typical,NA,NA,16,NA,142,NA,NA,NA,NA,NA,NA,NA,1.15,0.1456640625,,NA,45,NA,NA,NA,NA,NA,NA,NA,Affective responsiveness while looking at a neutral nodding female face while listening to either IDS or ADS,English,main,Infant directed and adult directed speech,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,native,fixed_length,yes,
Werker1994,"Werker, J.F. & Pegg, J.E. (1994).A cross-language investigation of infant preference for infant-directed communication. Infant Behavior and Development. 17(3), 323-333.",Werker et al. (1994),10.1016/0163-6383(94)90012-4,yes,yes,Alex Cristia,1,younger_en_attn,eye-tracking,test_only,CF,looking_time,0,within_two,Werker1994_1_5m.o.,Canadian English,typical,NA,NA,10,NA,142,NA,NA,NA,NA,NA,NA,NA,0.62,0.20961,,NA,15,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at videos of a female speaking either IDS or ADS in Cantonese,English,main,Cantonese infant directed and adult directed speech,0,1,1,Unfamiliar mother,Video recording,Laboratory living room like setting,Naturalistic,nonnative,fixed_length,yes,
Werker1994,"Werker, J.F. & Pegg, J.E. (1994).A cross-language investigation of infant preference for infant-directed communication. Infant Behavior and Development. 17(3), 323-333.",Werker et al. (1994),10.1016/0163-6383(94)90012-4,yes,yes,Alex Cristia,1,younger_en_emo,other,test_only,CF,facial_expression,0,within_two,Werker1994_1_5m.o.,Canadian English,typical,NA,NA,10,NA,142,NA,NA,NA,NA,NA,NA,NA,0.72,0.21296,,NA,15,NA,NA,NA,NA,NA,NA,NA,Affective responsiveness while listening to a female speaking either IDS or ADS in Cantonese,English,main,Cantonese infant directed and adult directed speech,0,1,1,Unfamiliar mother,Video recording,Laboratory living room like setting,Naturalistic,nonnative,fixed_length,yes,
Werker1994,"Werker, J.F. & Pegg, J.E. (1994).A cross-language investigation of infant preference for infant-directed communication. Infant Behavior and Development. 17(3), 323-333.",Werker et al. (1994),10.1016/0163-6383(94)90012-4,yes,yes,Alex Cristia,1,older_en_attn,eye-tracking,test_only,CF,looking_time,0,within_two,Werker1994_1_9m.o.,Canadian English,typical,NA,NA,10,NA,262,NA,NA,NA,NA,NA,NA,NA,0.73,0.2133225,,NA,15,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at videos of a female speaking either IDS or ADS in Cantonese,English,main,Cantonese infant directed and adult directed speech,0,1,1,Unfamiliar mother,Video recording,Laboratory living room like setting,Naturalistic,nonnative,fixed_length,yes,
Werker1994,"Werker, J.F. & Pegg, J.E. (1994).A cross-language investigation of infant preference for infant-directed communication. Infant Behavior and Development. 17(3), 323-333.",Werker et al. (1994),10.1016/0163-6383(94)90012-4,yes,yes,Alex Cristia,1,older_en_emo,other,test_only,CF,facial_expression,0,within_two,Werker1994_1_9m.o.,Canadian English,typical,NA,NA,10,NA,262,NA,NA,NA,NA,NA,NA,NA,0.53,0.2070225,,NA,15,NA,NA,NA,NA,NA,NA,NA,Affective responsiveness while listening to a female speaking either IDS or ADS in Cantonese,English,main,Cantonese infant directed and adult directed speech,0,1,1,Unfamiliar mother,Video recording,Laboratory living room like setting,Naturalistic,nonnative,fixed_length,yes,
Werker1994,"Werker, J.F. & Pegg, J.E. (1994).A cross-language investigation of infant preference for infant-directed communication. Infant Behavior and Development. 17(3), 323-333.",Werker et al. (1994),10.1016/0163-6383(94)90012-4,yes,yes,Alex Cristia,2,younger_ca_attn,eye-tracking,test_only,CF,looking_time,0,within_two,Werker1994_2_5m.o.,Cantonese,typical,NA,NA,10,NA,142,NA,NA,NA,NA,NA,NA,NA,0.24,0.20144,,NA,15,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at videos of a female speaking either IDS or ADS in Cantonese,Cantonese,main,Cantonese infant directed and adult directed speech,0,1,1,Unfamiliar mother,Video recording,Laboratory living room like setting,Naturalistic,native,fixed_length,yes,
Werker1994,"Werker, J.F. & Pegg, J.E. (1994).A cross-language investigation of infant preference for infant-directed communication. Infant Behavior and Development. 17(3), 323-333.",Werker et al. (1994),10.1016/0163-6383(94)90012-4,yes,yes,Alex Cristia,2,younger_ca_emo,other,test_only,CF,facial_expression,0,within_two,Werker1994_2_5m.o.,Cantonese,typical,NA,NA,10,NA,142,NA,NA,NA,NA,NA,NA,NA,0.74,0.21369,,NA,15,NA,NA,NA,NA,NA,NA,NA,Affective responsiveness while listening to a female speaking either IDS or ADS in Cantonese ,Cantonese,main,Cantonese infant directed and adult directed speech,0,1,1,Unfamiliar mother,Video recording,Laboratory living room like setting,Naturalistic,native,fixed_length,yes,
Werker1994,"Werker, J.F. & Pegg, J.E. (1994).A cross-language investigation of infant preference for infant-directed communication. Infant Behavior and Development. 17(3), 323-333.",Werker et al. (1994),10.1016/0163-6383(94)90012-4,yes,yes,Alex Cristia,2,older_ca_attn,eye-tracking,test_only,CF,looking_time,0,within_two,Werker1994_2_9m.o.,Cantonese,typical,NA,NA,10,NA,262,NA,NA,NA,NA,NA,NA,NA,0.4,0.204,,NA,15,NA,NA,NA,NA,NA,NA,NA,Amount of time looking at videos of a female speaking either IDS or ADS in Cantonese,Cantonese,main,Cantonese infant directed and adult directed speech,0,1,1,Unfamiliar mother,Video recording,Laboratory living room like setting,Naturalistic,native,fixed_length,yes,
Werker1994,"Werker, J.F. & Pegg, J.E. (1994).A cross-language investigation of infant preference for infant-directed communication. Infant Behavior and Development. 17(3), 323-333.",Werker et al. (1994),10.1016/0163-6383(94)90012-4,yes,yes,Alex Cristia,2,older_ca_emo,other,test_only,CF,facial_expression,0,within_two,Werker1994_2_9m.o.,Cantonese,typical,NA,NA,10,NA,262,NA,NA,NA,NA,NA,NA,NA,1.23,0.2378225,,NA,15,NA,NA,NA,NA,NA,NA,NA,Affective responsiveness while listening to a female speaking either IDS or ADS in Cantonese,Cantonese,main,Cantonese infant directed and adult directed speech,0,1,1,Unfamiliar mother,Video recording,Laboratory living room like setting,Naturalistic,native,fixed_length,yes,
